Status,State,Name,Hospital Provider Number,Street Address,Suburb,Postcode,Second-tier Eligible (Yes/No),Second-tier Expiry Date,"Second-tier Category",Circular,"The Commonwealth Minister for Health, or delegate, has declared the facility to be a neo-natal facility, consistent with Section 3(2) of the Health Insurance Act 1973. (This column is not complete and is still being populated)"
PRIVATE,VIC,SKIN HEALTH INSTITUTE,0044050B,"LEVEL 1, 80 DRUMMOND STREET",CARLTON,3053,YES,12-02-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 43/19; 17/20; 08/22; 16/22; 07/25,
PRIVATE,WA,SLEEPMED HEALTHCARE,0077200Y,78 FARRINGTON ROAD,LEEMING,6149,YES,25-07-27,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds",PHI 38/20; 53/23; 15/24; 50/24,
PRIVATE,NSW,SMITHFIELD ENDOSCOPY CENTRE,0027670F,888 THE HORSLEY DRIVE,SMITHFIELD,2164,YES,28-04-28,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 33/23; 69/23; 37/25,
PUBLIC,TAS,SMITHTON DISTRICT HOSPITAL,0080200W,74 BRITTONS ROAD,SMITHTON,7330,NO,,,,
PUBLIC,SA,SNOWTOWN HOSPITAL,0060510L,8 SOUTH TERRACE,SNOWTOWN,5520,NO,,,,
PRIVATE,ACT,SOLE VITA SURGERY,0097010W,7 PHIPPS CLOSE,DEAKIN,2600,YES,08-08-27,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds",PHI 43/19; 60/20; 57/23; 23/24; 56/24,
PRIVATE,NSW,SOMERSET PRIVATE HOSPITAL,0017660A,"LEVEL 1, 38 SOMERSET STREET",KINGSWOOD,2747,YES,24-04-26,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds",PHI 51/21; 63/21; 23/23,
PRIVATE,QLD,SOUTH BRISBANE DAY HOSPITAL,0057410Y,87 IPSWICH ROAD,WOOLLOONGABBA,4102,YES,01-11-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 08/20; 77/22; 71/23; 15/24,
PRIVATE,NSW,SOUTH COAST PRIVATE,0017460J,112 BURELLI STREET,WOLLONGONG,2500,YES,31-12-25,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)",PHI 32/19; 81/21; 18/23,
PUBLIC,NSW,SOUTH EAST REGIONAL HOSPITAL,0010670K,4 VIRGINIA DRIVE,BEGA,2550,NO,,,,
PRIVATE,VIC,SOUTH EASTERN PRIVATE HOSPITAL,0036280K,CNR PRINCES HIGHWAY & HEATHERTON ROAD,NOBLE PARK,3174,YES,22-10-28,"E - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, without an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 32/19; 02/22; 82/24; 70/25; 72/25,
PUBLIC,VIC,SOUTH GIPPSLAND HOSPITAL,0031090L,87 STATION ROAD,FOSTER,3960,NO,,,,
PRIVATE,NSW,SOUTH PACIFIC PRIVATE HOSPITAL,0015930K,24 BEACH STREET,CURL CURL,2096,YES,14-10-26,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)",PHI 06/20; 16/22; 57/23,
PRIVATE,WA,SOUTH PERTH HOSPITAL,0075260B,76 SOUTH TERRACE,SOUTH PERTH,6151,NO,22-09-24,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds",PHI 43/19; 51/20; 49/21; 70/24,
PUBLIC,VIC,SOUTH WEST HEALTHCARE - CAMPERDOWN,0030180X,9 ROBINSON STREET,CAMPERDOWN,3260,NO,,,,
PUBLIC,VIC,SOUTH WEST HEALTHCARE - WARRNAMBOOL CAMPUS,0031280H,RYOT STREET,WARRNAMBOOL,3280,NO,,,,
PRIVATE,NSW,SOUTH WESTERN ENDOSCOPY CENTRE,0889011L,20-22 BIGGE STREET,LIVERPOOL,2170,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,,
PRIVATE,VIC,SOUTH YARRA DAY SURGERY,0044250W,"LEVEL 11, 9 YARRA ST",SOUTH YARRA,3141,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 04/20,
PRIVATE,WA,SOUTHBANK DAY SURGERY,0075510A,38 MEADOWVALE AVENUE,SOUTH PERTH,6151,YES,11-02-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 43/20; 08/22; 11/22; 23/23,
PUBLIC,WA,SOUTHERN CROSS HOSPITAL,0070720J,COOLGARDIE ROAD (GREAT EASTERN HIGHWAY),SOUTHERN CROSS,6426,NO,,,,
PRIVATE,SA,SOUTHERN ENDOSCOPY CENTRE,0067200T,271 BRIGHTON ROAD,SOMERTON PARK,5144,YES,09-12-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 82/19; 77/22; 79/23,
PRIVATE,VIC,SOUTHERN EYE CENTRE DAY SURGERY,0925661J,44 CRANBOURNE ROAD,FRANKSTON,3199,YES,13-09-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 54/20; 57/23; 60/24; 69/24,
PUBLIC,SA,SOUTHERN FLEURIEU HEALTH SERVICE,0060550F,56-82 BAY ROAD,VICTOR HARBOR,5211,NO,,,PHI 86/24,
PRIVATE,NSW,SOUTHERN HIGHLANDS PRIVATE HOSPITAL,0017130F,93-95 BOWRAL STREET,BOWRAL,2576,YES,21-06-28,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds",PHI 63/19; 21/21; 63/22; 42/25,
PRIVATE,NSW,SOUTHERN SUBURBS DAY PROCEDURE CENTRE,0026940H,47 REGENT STREET,KOGARAH,2217,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,,
PRIVATE,NSW,SOUTHERN SYDNEY PRIVATE HOSPITAL,0017790L,"LEVEL 2, 629 KINGSWAY",MIRANDA,2228,YES,16-12-26,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds",PHI 36/25; 42/25,
PUBLIC,SA,SOUTHERN YORKE PENINSULA HEALTH SERVICE (YORKETOWN),0060590X,19 WATERLOO BAY ROAD,YORKETOWN,5576,NO,,,PHI 74/25,
PRIVATE,QLD,SOUTHPORT DAY HOSPITAL,0057370L,98A MARINE PARADE,SOUTHPORT,4215,YES,29-04-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 32/19; 20/21; 22/22,
PRIVATE,NSW,SOUTHSIDE CANCER CARE CENTRE,0027420A,"LEVEL 3, 531-533 THE KINGSWAY",MIRANDA,2228,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,,
PRIVATE,QLD,SOUTHSIDE ENDOSCOPY CENTRE,0999411T,"LEVEL 6, 4 PAXTON STREET",SPRINGWOOD,4127,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 65/25,
PRIVATE,QLD,SOUTHSIDE PROCEDURE CENTRE,0057540K,"SUITE 33, LEVEL 2, 245 McCULLOUGH STREET",SUNNYBANK,4109,YES,28-03-28,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 17/21; 21/21; 63/22; 23/24; 24/25,
PRIVATE,WA,SPEARWOOD HAEMODIALYSIS UNIT,0075670H,2-6 LANCASTER STREET,SPEARWOOD,6163,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,,
PRIVATE,TAS,SPECIALIST CARE AUSTRALIA - CAMPBELL TOWN,0085270H,101 HIGH STREET,CAMPBELL TOWN,7210,YES,13-10-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 25/23; 47/23; 69/24,
PRIVATE,TAS,SPECIALIST CARE AUSTRALIA LAUNCESTON,0087050B,129 WELLINGTON STREET,LAUNCESTON,7250,YES,06-01-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 12/19; 19/20; 14/23; 18/23; 02/24,
PRIVATE,TAS,SPECIALIST CARE AUSTRALIA ULVERSTONE,0085250K,35A QUEEN ST,ULVERSTONE,7315,YES,07-01-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 17/20; 19/20; 06/23; 18/23; 02/24,
PRIVATE,VIC,SPECIALIST SURGICENTRE DOCKLANDS,0043770A,"TENANCY 2, 22 RAKAIA WAY",DOCKLANDS,3008,YES,24-01-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 43/19; 89/21; 86/24,
PRIVATE,VIC,SPECIALIST SURGICENTRE GEELONG,0043840B,200 MALOP STREET,GEELONG,3220,YES,26-01-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 43/19; 89/21; 86/24,
PRIVATE,QLD,SPENDELOVE PRIVATE HOSPITAL,0055990A,24 SPENDELOVE AVENUE,SOUTHPORT,4215,YES,19-01-28,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)",PHI 29/19; 55/19; 90/20; 16/22; 94/24,
PRIVATE,QLD,SPRING HILL SPECIALIST DAY HOSPITAL,0656641J,"LEVELS 8 & 9, 525 BOUNDARY STREET",SPRING HILL,4000,YES,25-11-25,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 43/19; 52/19; 83/21; 87/21; 70/24; 75/24,
PUBLIC,QLD,SPRINGSURE HOSPITAL,0051190Y,21 WOODBINE STREET,SPRINGSURE,4722,NO,,,PHI 63/19,
PRIVATE,VIC,SPRINGVALE ENDOSCOPY CENTRE AND DAY HOSPITAL,0894531L,20 BALMORAL AVENUE,SPRINGVALE,3171,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,,
PRIVATE,QLD,SPRINGWOOD DAY SURGERY ,0057620K,52 CINDERELLA DRIVE ,SPRINGWOOD,4127,YES,15-02-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 87/23; 56/24,
PUBLIC,NSW,SPRINGWOOD HOSPITAL,0012730Y,7 HUNTLEY GRANGE ROAD,SPRINGWOOD,2777,NO,,,PHI 53/19,
PRIVATE,VIC,ST ALBANS ENDOSCOPY CENTRE,0043520X,328-330 STATION ROAD,ST ALBANS,3021,YES,24-01-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 44/20; 02/22; 07/22; 11/25; 23/25,
PRIVATE,SA,ST ANDREW'S HOSPITAL INC,0065310B,350 SOUTH TERRACE,ADELAIDE,5000,YES,23-05-28,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit","PHI 43/19, 69/19; 55/21; 26/22; 37/25",
PRIVATE,QLD,ST ANDREW'S IPSWICH PRIVATE HOSPITAL,0055420L,CNR RODERICK AND PRING STREET,IPSWICH,4305,YES,25-08-26,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 21/19; 59/19; 28/20; 16/22; 53/23,
PRIVATE,QLD,ST ANDREW'S TOOWOOMBA HOSPITAL,0055530H,280 NORTH STREET,TOOWOOMBA,4350,YES,26-09-27,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 10/20; 54/20; 41/22; 60/24,
PRIVATE,QLD,ST ANDREW'S WAR MEMORIAL HOSPITAL,0055130A,"457 WICKHAM TERRACE & GROUND FLOOR & LEVEL 4, 33 NORTH STREET",SPRING HILL,4000,YES,02-10-25,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 43/19; 63/19; 83/21; 75/24; 65/25,
PUBLIC,NSW,ST GEORGE HOSPITAL,0010410J,30 GRAY STREET,KOGARAH,2217,NO,,,,
PUBLIC,QLD,ST GEORGE HOSPITAL (QLD),0051160F,VICTORIA STREET,ST GEORGE,4487,NO,,,,
PRIVATE,NSW,ST GEORGE PRIVATE HOSPITAL,0017090X,1 SOUTH STREET,KOGARAH,2217,YES,22-04-27,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 63/20;15/21; 34/24,
PUBLIC,VIC,ST GEORGE'S HEALTH SERVICE,0031130Y,283 COTHAM ROAD,KEW,3101,NO,,,,
PUBLIC,TAS,ST HELENS DISTRICT HOSPITAL,0080440A,CIRCASSION STREET,ST HELENS,7216,NO,,,,
PRIVATE,VIC,ST JOHN OF GOD BALLARAT HOSPITAL,0035800K,101 DRUMMOND STREET NORTH,BALLARAT,3350,YES,15-12-27,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 26/19; 55/21; 82/24,
PRIVATE,VIC,ST JOHN OF GOD BENDIGO HOSPITAL,0036320X,133-145 LILY STREET,BENDIGO,3550,YES,27-09-28,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 05/20; 08/20; 39/21; 45/25;,
PRIVATE,VIC,ST JOHN OF GOD BERWICK DAY ONCOLOGY CENTRE,0044070Y,"LEVEL 1, 55 KANGAN DRIVE",BERWICK,3806,YES,07-01-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 08/20; 10/20; 48/23; 01/24,
PRIVATE,VIC,ST JOHN OF GOD BERWICK HOSPITAL,0035080F,75 KANGAN DRIVE,BERWICK,3806,YES,07-01-27,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 10/20; 70/20; 44/22; 48/23; 01/24,
PRIVATE,WA,ST JOHN OF GOD BUNBURY HOSPITAL,0075200T,CNR ROBERTSON DRIVE & BUSSELL HIGHWAY,BUNBURY,6230,YES,08-12-26,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 08/20; 10/20; 48/23; 84/23,
PRIVATE,NSW,ST JOHN OF GOD BURWOOD HOSPITAL,0016070J,13-21 GRANTHAM STREET,BURWOOD,2134,YES,04-05-27,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)",PHI 46/20; 48/23; 34/24,
PRIVATE,VIC,ST JOHN OF GOD FRANKSTON REHABILITATION HOSPITAL,0036810A,255-265 CRANBOURNE ROAD,FRANKSTON,3199,YES,24-11-25,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)",PHI 26/19; 02/22; 68/22,
PRIVATE,VIC,ST JOHN OF GOD GEELONG HOSPITAL,0035340A,80 MYERS STREET,GEELONG,3220,YES,23-01-28,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 26/19; 84/20; 33/21; 75/24; 82/24,
PRIVATE,WA,ST JOHN OF GOD GERALDTON HOSPITAL,0075210L,12 HERMITAGE STREET,GERALDTON,6530,YES,16-05-27,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds",PHI 32/20; 48/23; 34/24,
PRIVATE,WA,"ST JOHN OF GOD HOSPITAL, SUBIACO",0075240H,12 SALVADO ROAD,SUBIACO,6008,YES,17-08-26,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 57/19; 50/22; 59/23,
PRIVATE,VIC,ST JOHN OF GOD LANGMORE CENTRE,0036560B,3 GIBB STREET,BERWICK,3806,YES,02-03-28,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)",PHI 26/19; 14/21; 44/22; 77/22; 06/24; 94/24,
PRIVATE,WA,ST JOHN OF GOD MIDLAND HEALTH CAMPUS,0075700W,1 CLAYTON STREET,MIDLAND,6056,YES,15-01-27,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds",PHI 25/20; 53/23; 01/24; 02/24; 11/24,
PRIVATE,WA,ST JOHN OF GOD MT LAWLEY HOSPITAL,0075160H,THIRLMERE ROAD,MOUNT LAWLEY,6050,YES,11-11-26,"E - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, without an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 06/23; 71/23,
PRIVATE,WA,ST JOHN OF GOD MURDOCH HOSPITAL,0075480L,100 MURDOCH DRIVE,MURDOCH,6150,YES,12-01-29,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 52/19; 77/22; 14/23; 72/25,
PRIVATE,NSW,ST JOHN OF GOD RICHMOND HOSPITAL,0016080H,177 GROSE VALE ROAD,NORTH RICHMOND,2754,YES,04-05-27,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)",PHI 39/20; 46/20; 48/23; 34/24,
PRIVATE,WA,ST JOHN OF GOD SUBIACO EYE HOSPITAL ,0077190H,190 CAMBRIDGE STREET,WEMBLEY,6014,YES,17-08-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 57/19; 50/22; 63/22; 59/23,
PRIVATE,VIC,ST JOHN OF GOD WARRNAMBOOL HOSPITAL,0035820H,136 BOTANIC ROAD,WARRNAMBOOL,3280,YES,24-12-27,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds",PHI 60/21; 75/24,
PUBLIC,NSW,ST JOSEPH'S HOSPITAL,0010430F,1 NORMANBY ROAD,AUBURN,2144,NO,,,,
PRIVATE,NSW,ST LUKE'S HOSPITAL,0017010L,18 ROSLYN STREET,POTTS POINT,2011,YES,16-12-27,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds",PHI 04/20; 76/20; 16/22; 94/24,
PUBLIC,SA,ST MARGARETS REHABILITATION HOSPITAL,0060040F,65 MILITARY ROAD,SEMAPHORE SOUTH,5019,NO,,,PHI 72/25,
PUBLIC,TAS,ST MARYS COMMUNITY HEALTH CENTRE,0080180F,GARDINERS CREEK ROAD,ST MARYS,7215,NO,,,,
PRIVATE,QLD,ST STEPHEN'S HOSPITAL HERVEY BAY,0057320A,1 MEDICAL PLACE,URRAWEEN,4655,YES,11-10-25,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds",PHI 43/19; 83/21; 69/24,
PUBLIC,NSW,ST VINCENT'S HOSPITAL (DARLINGHURST),0010460Y,390 VICTORIA STREET,DARLINGHURST,2010,NO,,,,
PUBLIC,NSW,ST VINCENT'S HOSPITAL (LISMORE),0012040B,DALLEY STREET,LISMORE,2480,NO,,,,
PUBLIC,VIC,ST VINCENT'S HOSPITAL (MELBOURNE) LTD,0031140X,41 VICTORIA PARADE,FITZROY,3065,NO,,,,
PRIVATE,NSW,ST VINCENT'S PRIVATE COMMUNITY HOSPITAL GRIFFITH,0017550H,41-45 ANIMOO AVENUE,GRIFFITH,2680,YES,29-06-28,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds",PHI 22/20; 39/21; 49/21; 48/24; 56/24; 50/25; 58/25,
PRIVATE,NSW,ST VINCENT'S PRIVATE HOSPITAL (DARLINGHURST),0016150J,406 VICTORIA STREET,DARLINGHURST,2010,YES,26-10-26,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 08/20; 06/23; 04/24,
PRIVATE,QLD,ST VINCENT'S PRIVATE HOSPITAL BRISBANE,0055570Y,411 MAIN STREET,KANGAROO POINT,4169,YES,25-12-27,"E - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, without an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 29/19; 43/19; 41/22; 63/22; 92/24,
PRIVATE,VIC,ST VINCENT'S PRIVATE HOSPITAL EAST MELBOURNE,0035500A,159 GREY STREET,EAST MELBOURNE,3002,YES,13-12-25,"E - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, without an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 43/19; 55/19; 84/22; 32/23,
PRIVATE,VIC,ST VINCENT'S PRIVATE HOSPITAL FITZROY,0036340T,59-61 VICTORIA PARADE,FITZROY,3065,YES,13-12-25,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 43/19; 84/22; 18/23,
PRIVATE,VIC,ST VINCENT'S PRIVATE HOSPITAL KEW,0036470F,5 STUDLEY AVENUE,KEW,3101,YES,13-12-25,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds",PHI 43/19; 84/22; 32/23,
PRIVATE,NSW,ST VINCENT'S PRIVATE HOSPITAL LISMORE,0017030J,DALLEY STREET,LISMORE,2480,YES,02-01-28,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds",PHI 43/19; 52/19; 84/20; 22/22; 92/24; 94/24,
PRIVATE,QLD,ST VINCENT'S PRIVATE HOSPITAL NORTHSIDE,0056000B,627 RODE ROAD,CHERMSIDE,4032,YES,25-12-27,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 32/19; 43/19; 11/22; 86/24,
PRIVATE,QLD,ST VINCENT'S PRIVATE HOSPITAL TOOWOOMBA,0055460F,22-36 SCOTT STREET,TOOWOOMBA,4350,YES,17-03-28,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 43/19; 25/20; 16/22; 30/25; 58/25,
PRIVATE,VIC,ST VINCENTS PRIVATE HOSPITAL WERRIBEE,0036980F,240 HOPPERS LANE,WERRIBEE,3030,YES,13-12-25,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds",PHI 44/20; 84/22; 53/23,
PUBLIC,QLD,STANTHORPE HOSPITAL,0051200L,8 MCGREGOR TERRACE,STANTHORPE,4380,NO,,,,
PUBLIC,VIC,STAWELL REGIONAL HEALTH,0031110B,27-29 SLOANE STREET,STAWELL,3380,NO,,,,
PRIVATE,WA,STIRLING DIALYSIS CLINIC,0077230T,1 PUCCINI COURT,STIRLING,6021,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,,
PRIVATE,SA,STIRLING HOSPITAL INC,0065340X,20 MILAN TERRACE,STIRLING,5152,YES,16-03-27,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds",PHI 54/20; 06/23; PHI 18/24,
PRIVATE,VIC,STONNINGTON DAY SURGERY,0043560K,LEVEL 1; 253 WATTLETREE ROAD,MALVERN,3144,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,,
PUBLIC,SA,STRATHALBYN AND DISTRICT HEALTH SERVICES,0060520K,14 ALFRED PLACE,STRATHALBYN,5255,NO,,,,
PRIVATE,NSW,STRATHFIELD PRIVATE HOSPITAL,0015070W,3 EVERTON ROAD,STRATHFIELD,2135,YES,28-08-28,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds",PHI 49/21; 77/22; 68/25,
PUBLIC,SA,STREAKY BAY HOSPITAL,0060530J,1 FLINDERS DRIVE,STREAKY BAY,5680,NO,,,,
PRIVATE,WA,SUBIACO PRIVATE HOSPITAL,0075660J,"SUITE 9, 1 SALVADO ROAD",SUBIACO,6008,YES,16-12-28,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds",PHI 25/20; 76/21; 34/24; 74/25,
PUBLIC,VIC,SUNBURY COMMUNITY HOSPITAL,0044020J,7 MACEDON STREET,SUNBURY,3429,NO,,,PHI 07/25,
PRIVATE,WA,SUNDEW DAY SURGERY,0075720L,24 SUNDEW RISE,JOONDALUP,6027,YES,18-08-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 03/20; 06/20; 11/21; 44/22; 50/24,
PRIVATE,QLD,SUNNYBANK PRIVATE HOSPITAL,0055720A,245 MCCULLOUGH STREET,SUNNYBANK,4109,YES,04-02-28,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 05/21; 26/22; 07/25,
PRIVATE,QLD,SUNSHINE COAST DAY SURGERY,0657801A,CNR MEMORIAL & SECOND AVENUES,MAROOCHYDORE,4558,YES,20-09-28,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 32/19; 59/19; 35/21; 44/22; 65/25,
PRIVATE,QLD,SUNSHINE COAST HAEMATOLOGY AND ONCOLOGY CLINIC,0926591Y,8-10 KING STREET,BUDERIM,4556,YES,21-04-28,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 30/19;  59/19; 21/21; 26/22; 23/25,
PUBLIC,QLD,SUNSHINE COAST UNIVERSITY HOSPITAL,0051960W,6 DOHERTY STREET,BIRTINYA,4575,NO,,,PHI 13/16,
PRIVATE,QLD,SUNSHINE COAST UNIVERSITY PRIVATE HOSPITAL,0056110X,3 DOHERTY STREET,BIRTINYA,4575,YES,27-10-26,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit",PHI 69/13; 28/20; 63/22; 02/24,
PRIVATE,VIC,SUNSHINE DIALYSIS CLINIC,0044130B,"LEVEL 1, 147-149 FURLONG ROAD",ST ALBANS,3021,NO,01-02-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 22/20; 66/20; 07/21; 77/22,
PUBLIC,VIC,SUNSHINE HOSPITAL,0031910T,176 FURLONG ROAD,ST ALBANS,3021,NO,,,,
PUBLIC,QLD,SURAT HOSPITAL,0051210K,LOT 73 IVAN STREET,SURAT,4417,NO,,,,
PUBLIC,QLD,SURGICAL TREATMENT AND REHABILITATION SERVICE (STARS),0051980L,296 HERSTON ROAD,HERSTON,4029,NO,,,PHI 73/20,
PRIVATE,NSW,SURRY HILLS DAY HOSPITAL,0027040L,573 CROWN STREET,SURRY HILLS,2010,NO,05-05-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 76/20; 24/21; ,
